Customer ID,Purchase Amt(USD),Purchase Qty,Category
639729,479,46,Produce
311306,541,47,Cosmetics
213607,719,10,Furniture
320001,500,23,Office
173449,617,3,Electronics
608767,449,12,Produce
688686,627,47,Cosmetics
172879,173,31,Furniture
698141,470,21,Office
856585,540,13,Electronics
745906,951,27,Produce
300308,431,4,Cosmetics
182360,666,21,Furniture
720965,741,14,Office
419107,549,28,Electronics
795139,200,34,Produce
597096,169,40,Cosmetics
935794,602,46,Furniture
639487,704,26,Office
938949,936,21,Electronics
942401,578,7,Produce
465591,628,37,Cosmetics
411797,243,27,Furniture
132241,632,25,Office
861418,503,22,Electronics
839471,224,13,Produce
480655,308,47,Cosmetics
281006,784,12,Furniture
878759,633,26,Office
631402,506,8,Electronics
921987,197,31,Produce
979575,756,28,Cosmetics
520189,274,30,Furniture
234493,788,26,Office
550547,790,41,Electronics
847638,288,38,Produce
350587,275,16,Cosmetics
350766,574,23,Furniture
414201,879,49,Office
262923,367,19,Electronics
974042,988,17,Produce
944450,329,26,Cosmetics
532973,342,26,Furniture
830470,978,11,Office
766533,442,28,Electronics
257735,778,17,Produce
679246,176,32,Cosmetics
361704,639,30,Furniture
317567,542,45,Office
983259,847,21,Electronics
262789,970,39,Produce
996779,451,41,Cosmetics
869559,521,14,Furniture
152237,466,14,Office
995352,639,16,Electronics
667489,411,22,Produce
595164,231,23,Cosmetics
367405,543,21,Furniture
579162,642,39,Office
657002,761,15,Electronics
529937,950,18,Produce
370670,360,24,Cosmetics
904252,181,22,Furniture
630029,483,17,Office
586666,586,12,Electronics
683592,680,28,Produce
803554,730,7,Cosmetics
440509,393,37,Furniture
734146,841,5,Office
833333,784,31,Electronics
167842,897,47,Produce
700460,827,32,Cosmetics
473622,325,34,Furniture
139903,335,41,Office
269220,917,28,Electronics
888847,918,44,Produce
665207,112,28,Cosmetics
124320,823,16,Furniture
843353,940,43,Office
158217,551,49,Electronics
769258,265,22,Produce
156702,366,44,Cosmetics
209739,780,34,Furniture
119742,524,7,Office
330890,665,40,Electronics
808359,422,48,Produce
508315,351,5,Cosmetics
864708,140,45,Furniture
823298,385,8,Office
944056,181,3,Electronics
162069,220,21,Produce
568185,551,16,Cosmetics
363412,690,45,Furniture
318205,122,38,Office
776835,330,35,Electronics
153717,339,37,Produce
799504,822,16,Cosmetics
361369,710,27,Furniture
733823,316,25,Office
